iter	Passed	Remaining
0	1	113
1	2	113
2	3	113
3	4	112
4	6	118
5	7	116
6	8	116
7	9	114
8	11	112
9	12	111
10	13	109
11	14	108
12	15	106
13	17	104
14	18	104
15	19	103
16	20	102
17	22	101
18	23	99
19	24	98
20	25	96
21	27	96
22	28	94
23	29	93
24	30	91
25	31	90
26	32	88
27	34	87
28	35	86
29	36	85
30	37	84
31	39	83
32	40	82
33	41	81
34	42	79
35	44	78
36	45	77
37	47	76
38	48	76
39	49	74
40	51	73
41	51	71
42	52	69
43	53	68
44	55	67
45	56	66
46	58	65
47	59	64
48	60	63
49	62	62
50	63	61
51	64	59
52	66	58
53	67	57
54	68	55
55	69	54
56	71	53
57	72	52
58	73	51
59	75	50
60	76	48
61	77	47
62	78	46
63	80	45
64	81	43
65	82	42
66	83	41
67	85	40
68	86	38
69	88	37
70	89	36
71	90	35
72	91	33
73	93	32
74	94	31
75	95	30
76	96	28
77	98	27
78	100	26
79	101	25
80	103	24
81	104	22
82	106	21
83	107	20
84	109	19
85	110	17
86	111	16
87	113	15
88	114	14
89	116	12
90	117	11
91	118	10
92	120	9
93	121	7
94	122	6
95	123	5
96	125	3
97	126	2
98	127	1
99	129	0
